SBS1	SBS5	SBS18	SBS2	SBS13
Ohutsuoli121_1_16.0686TP_T_161017_K00110_0103_BHCJW7BBXX	0.194217511334419	0.805782488665581	0	0	0
Ohutsuoli123_1_16.0169_T_160408_K00110_0069_BH57LFBBXX	0.125868377403149	0.874131622596851	0	0	0
Ohutsuoli126_1_16.0554_T_160901_K00110_0097_AHF2NLBBXX	0.116977388490256	0.883022611509744	0	0	0
Ohutsuoli135_1_16.0170_T_160408_K00110_0069_BH57LFBBXX	0.00445539267723324	0.865628231175364	0.129916376147402	0	0
Ohutsuoli140_1_15.0970_T_151110_K00110_0033_BH2VJYBBXX	0.19842942741633	0.80157057258367	0	0	0
Ohutsuoli141_1_16.0530TP_T_160901_K00110_0098_BHCM72BBXX	0.154299400444982	0.845700599555018	0	0	0
Ohutsuoli145_1_16.0680_T_160901_K00110_0098_BHCM72BBXX	0.0767643970502763	0.798118161786872	0.125117441162851	0	0
Ohutsuoli148_1_16.0568_T_160901_K00110_0097_AHF2NLBBXX	0.214209346898939	0.785790653101061	0	0	0
Ohutsuoli149_1_16.0573_T_160901_K00110_0098_BHCM72BBXX	0.145937319715836	0.777184954547606	0	0	0
Ohutsuoli153_1_16.0444TP_T_160617_K00110_0079_BH72WNBBXX	0.374115246999558	0.625884753000442	0	0	0
Ohutsuoli160_1_15.0974_T_151110_K00110_0033_BH2VJYBBXX	0.211413616858755	0.788586383141245	0	0	0
Ohutsuoli161_1_16.0543TP_T_160901_K00110_0097_AHF2NLBBXX	0.266395693200983	0.733604306799017	0	0	0
Ohutsuoli162_1_16.0567_T_160901_K00110_0098_BHCM72BBXX	0.125179586571071	0.741157833429508	0.133662579999421	0	0
Ohutsuoli163_1_16.0171_T_160408_K00110_0069_BH57LFBBXX	0.112343382257535	0.887656617742465	0	0	0
Ohutsuoli164_1_15.1034TP_T_160129_K00110_0062_AH55TWBBXX	0.142733395577044	0.773477095141904	0	0	0
Ohutsuoli168_1_16.0559_T_160901_K00110_0098_BHCM72BBXX	0.115617952654187	0.653796436427617	0	0.0416953837782413	0.0826703857363005
Ohutsuoli170_1_16.0022_T_160408_K00110_0069_BH57LFBBXX	0.250606109377174	0.749393890622826	0	0	0
Ohutsuoli171_1_15.1069TP_T_160129_K00110_0062_AH55TWBBXX	0.103224700006729	0.896775299993271	0	0	0
Ohutsuoli174_1_16.0174_T_160408_K00110_0069_BH57LFBBXX	0.0600016576283422	0.939998342371658	0	0	0
Ohutsuoli178_1_16.0574_T_160901_K00110_0098_BHCM72BBXX	0.213806788458559	0.786193211541441	0	0	0
Ohutsuoli184_1_16.0395_T_160617_K00110_0079_BH72WNBBXX	0.269045182092381	0.730954817907619	0	0	0
Ohutsuoli185_1_16.0553_T_160901_K00110_0098_BHCM72BBXX	0.126856229755264	0.873143770244736	0	0	0
Ohutsuoli190_1_16.0578_T_160901_K00110_0097_AHF2NLBBXX	0.0865462941839012	0.804848733399932	0	0	0
Ohutsuoli191_1_16.0532TP_T_160901_K00110_0098_BHCM72BBXX	0.247822916560815	0.579183540520391	0	0.0951605189805165	0.0778330239382771
Ohutsuoli192_1_16.0580TP_T_161017_K00110_0103_BHCJW7BBXX	0.0651949012122832	0.613550410569307	0.321254688218409	0	0
Ohutsuoli198_1_16.0584TP_T_161017_K00110_0103_BHCJW7BBXX	0.223160016789305	0.776839983210695	0	0	0
Ohutsuoli200_1_16.0533TP_T_160901_K00110_0097_AHF2NLBBXX	0.157992444283081	0.842007555716919	0	0	0
Ohutsuoli207_1_16.0448TP_T_160617_K00110_0079_BH72WNBBXX	0.278726700416819	0.61386394720511	0	0.0511251771593409	0.0562841752187306
Ohutsuoli211_1_16.0583TP_T_161017_K00110_0103_BHCJW7BBXX	0.181229532442018	0.698876889130311	0	0	0
Ohutsuoli214_1_16.0579TP_T_161017_K00110_0103_BHCJW7BBXX	0.151045143907789	0.848954856092211	0	0	0
Ohutsuoli219_1_16.0544TP_T_160901_K00110_0097_AHF2NLBBXX	0.096939182030638	0.719937284762527	0	0.104874344196851	0.078249189009984
Ohutsuoli220_1_16.0545TP_T_160901_K00110_0097_AHF2NLBBXX	0.249276374162712	0.750723625837288	0	0	0
Ohutsuoli225_1_16.0546TP_T_160901_K00110_0097_AHF2NLBBXX	0.179157017908921	0.820842982091079	0	0	0
Ohutsuoli226_1_16.0547TP_T_160901_K00110_0098_BHCM72BBXX	0.146855945491776	0.71769498788199	0	0	0
Ohutsuoli229_1_16.0550TP_T_160901_K00110_0097_AHF2NLBBXX	0.179146322793242	0.820853677206758	0	0	0
Ohutsuoli230_1_16.0551TP_T_160901_K00110_0098_BHCM72BBXX	0.0259387972654967	0.865914725816379	0.108146476918124	0	0
Ohutsuoli231_1_16.0552TP_T_160901_K00110_0098_BHCM72BBXX	0.0201953937122724	0.681236231477628	0.202962144575824	0.0422286711133997	0.0533775591208756
