1:Del:C:0	1:Del:C:1	1:Del:C:2	1:Del:C:3	1:Del:C:4	1:Del:C:5	1:Del:T:0	1:Del:T:1	1:Del:T:2	1:Del:T:3	1:Del:T:4	1:Del:T:5	1:Ins:C:0	1:Ins:C:1	1:Ins:C:2	1:Ins:C:3	1:Ins:C:4	1:Ins:C:5	1:Ins:T:0	1:Ins:T:1	1:Ins:T:2	1:Ins:T:3	1:Ins:T:4	1:Ins:T:5	2:Del:R:0	2:Del:R:1	2:Del:R:2	2:Del:R:3	2:Del:R:4	2:Del:R:5	3:Del:R:0	3:Del:R:1	3:Del:R:2	3:Del:R:3	3:Del:R:4	3:Del:R:5	4:Del:R:0	4:Del:R:1	4:Del:R:2	4:Del:R:3	4:Del:R:4	4:Del:R:5	5:Del:R:0	5:Del:R:1	5:Del:R:2	5:Del:R:3	5:Del:R:4	5:Del:R:5	2:Ins:R:0	2:Ins:R:1	2:Ins:R:2	2:Ins:R:3	2:Ins:R:4	2:Ins:R:5	3:Ins:R:0	3:Ins:R:1	3:Ins:R:2	3:Ins:R:3	3:Ins:R:4	3:Ins:R:5	4:Ins:R:0	4:Ins:R:1	4:Ins:R:2	4:Ins:R:3	4:Ins:R:4	4:Ins:R:5	5:Ins:R:0	5:Ins:R:1	5:Ins:R:2	5:Ins:R:3	5:Ins:R:4	5:Ins:R:5	2:Del:M:1	3:Del:M:1	3:Del:M:2	4:Del:M:1	4:Del:M:2	4:Del:M:3	5:Del:M:1	5:Del:M:2	5:Del:M:3	5:Del:M:4	5:Del:M:5
PD37449_2	1	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PD37449_3	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0	 1	 2	 0	16	 0	 1	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
PD37449_4	 1	 1	 0	 0	 0	 0	 1	 0	 2	 1	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	10	 1	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 0
PD37449_5	 3	 1	 1	 2	 0	 1	 2	 3	 1	 5	 3	 7	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	33	 0	 2	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 1	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0
PD37449_6	 1	 2	 2	 3	 0	 0	 4	 3	 3	 3	 5	10	 0	 0	 0	 1	 0	 3	 0	 2	 0	 1	 1	30	 1	 1	 1	 0	 0	 0	 1	 1	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 2	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 1	 0	 0	 0
PD37449_7	 5	 1	 1	 0	 0	 0	 3	 4	 1	 4	 2	 6	 0	 0	 0	 0	 1	 0	 0	 2	 0	 1	 0	19	 2	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 2	 0	 0	 1	 1	 1	 0	 0	 0	 1	 0
PD37449_8	 5	 1	 2	 0	 0	 0	 2	 1	 0	 2	 0	11	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 1	21	 0	 3	 0	 0	 0	 1	 0	 1	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0
PD37449_9	 2	 3	 0	 1	 0	 1	 0	 1	 2	 1	 0	 8	 0	 0	 0	 0	 0	 3	 0	 2	 0	 0	 0	23	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 2	 0	 0	 0	 0	 1	 1	 0	 0
PD41851_1	12	 8	 3	 1	 0	 4	 4	 4	 8	 6	 6	22	 1	 2	 0	 0	 1	12	 3	 4	 1	 3	 2	78	 1	 6	 2	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 2	 1	 0	 1	 0	 3	 1	 0	 0	 0	 0	 2	 3	 0	 0	 0	 3	 1	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 4	 1	 0	 2	 0	 0	 2	 2	 1	 0	 0
PD41851_10	11	 8	 5	 1	 0	 0	11	 5	 4	 7	 6	27	 1	 0	 0	 0	 2	 9	 3	 8	 2	 3	 2	84	 4	 7	 1	 0	 0	 0	 1	 0	 2	 0	 1	 0	 1	 1	 3	 0	 0	 0	 3	 1	 0	 0	 0	 0	 0	 2	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 3	 0	 2	 0	 1	 0	 5	 1	 1	 1	 0
PD41851_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD41851_13	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PD41851_14	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	1	0	2	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PD41851_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PD41851_16	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PD41851_17	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PD41851_18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD41851_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD41851_2	10	 7	 2	 3	 1	 1	 9	 3	 6	 6	 4	23	 0	 0	 1	 0	 1	 7	 1	 2	 1	 2	 1	45	 4	 5	 1	 0	 0	 0	 0	 1	 1	 0	 0	 0	 1	 2	 0	 0	 0	 0	 3	 1	 1	 1	 0	 0	 1	 0	 0	 0	 0	 4	 1	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 1	 4	 0	 0	 0	 0	 1	 0	 2	 0	 0	 1	 0	 1	 0	 2	 0
PD41851_3	12	 7	 7	 1	 0	 2	 8	 3	 8	 4	 3	38	 1	 0	 0	 0	 0	11	 3	 5	 2	 1	 1	94	 1	 4	 2	 1	 0	 0	 0	 5	 0	 0	 0	 0	 0	 1	 1	 0	 0	 0	 4	 2	 0	 0	 0	 1	 0	 2	 1	 0	 0	 2	 0	 1	 0	 1	 0	 0	 1	 0	 0	 0	 1	 0	 1	 4	 0	 0	 0	 0	 1	 1	 1	 0	 1	 2	 2	 6	 4	 2	 0
PD41851_4	18	 8	 4	 2	 2	 1	 5	 2	 3	 5	 6	28	 4	 1	 0	 0	 0	 5	 0	 5	 1	 1	 0	96	 2	 2	 1	 1	 0	 0	 1	 4	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 3	 0	 0	 2	 1	 1	 4	 1	 0	 0	 0
PD41851_5	12	12	 3	 4	 1	 1	 4	10	 5	 8	 3	33	 1	 1	 2	 0	 1	12	 1	 4	 0	 1	 1	87	 1	 9	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 2	 0	 1	 0	 1	 1	 1	 0	 0	 0	 0	 0	 2	 0	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 2	 2	 1	 0	 1	 2	 0	 1	 1	 2	 1
PD41851_6	10	 6	 4	 1	 1	 1	 4	 3	 9	 4	 5	25	 2	 0	 1	 0	 1	 7	 0	 7	 2	 4	 1	49	 3	 1	 0	 0	 0	 1	 2	 3	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 2	 2	 0	 0	 0	 0	 1	 0	 0	 1	 1	 1	 0	 2	 0	 0	 0	 1	 0	 0	 0	 0	 0	 1	 1	 4	 0	 0	 0	 0	 3	 1	 1	 0	 2	 2	 2	 0	 0	 0	 0
PD41851_7	 7	10	 1	 3	 1	 0	 8	 6	 5	 6	 4	28	 3	 1	 0	 0	 1	 9	 1	 2	 2	 0	 0	74	 2	 3	 3	 0	 0	 0	 2	 1	 0	 1	 1	 0	 0	 2	 0	 0	 0	 0	 1	 1	 0	 0	 0	 0	 1	 1	 0	 0	 0	 4	 1	 0	 0	 0	 0	 1	 0	 1	 0	 1	 0	 0	 0	 4	 0	 0	 0	 0	 3	 1	 1	 1	 0	 1	 2	 2	 2	 0	 3
PD41851_8	 9	 7	 4	 1	 0	 1	 4	 7	 3	 4	 7	29	 0	 0	 0	 0	 0	11	 1	 5	 1	 2	 2	48	 1	 0	 0	 0	 0	 0	 0	 2	 0	 1	 1	 0	 0	 3	 0	 0	 0	 0	 2	 1	 0	 0	 0	 0	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 3	 3	 1	 0	 1	 1	 2	 4	 1	 1	 0
PD41851_9	12	10	 6	 0	 0	 0	 6	 7	 8	 5	 5	24	 2	 0	 0	 0	 0	11	 0	 2	 2	 3	 3	53	 1	 5	 3	 0	 0	 1	 0	 2	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 1	 2	 1	 0	 0	 3	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 0	 1	 0	 0	 3	 0	 1	 0	 1	 1	 1	 2	 2	 1	 4
PD41852_1	 8	 3	 2	 0	 2	 0	10	 3	 5	 9	 6	37	 2	 1	 0	 1	 0	 5	 0	 5	 2	 0	 3	48	 2	 5	 0	 0	 1	 0	 1	 2	 1	 1	 0	 1	 1	 3	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 2	 1	 1	 0	 0	 3	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 1	 0	 1	 1	 4	 1	 4	 1	 0	 2	 2	 0	 1
PD41852_10	 9	 7	 2	 0	 2	 0	 3	 2	 5	 6	 4	29	 3	 1	 0	 1	 0	10	 1	 6	 0	 3	 0	68	 1	 5	 2	 1	 0	 1	 0	 4	 1	 0	 0	 0	 1	 4	 0	 0	 0	 0	 3	 3	 1	 0	 0	 0	 1	 0	 2	 0	 1	 3	 0	 3	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 5	 1	 2	 1	 0	 1	 1	 1	 2	 0	 2
PD41852_11	 9	 5	 5	 5	 1	 2	 8	 1	 3	 5	 5	36	 0	 1	 1	 2	 0	13	 0	 4	 0	 2	 2	46	 3	 4	 0	 0	 0	 1	 0	 3	 0	 0	 1	 1	 0	 5	 0	 0	 0	 0	 1	 2	 0	 0	 0	 0	 0	 1	 1	 0	 0	 5	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 3	 0	 0	 1	 4	 0	 1	 3	 0	 0	 1
PD41852_13	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD41852_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD41852_17	 7	 0	 2	 2	 0	 2	 2	 3	 1	 2	 6	11	 0	 0	 0	 0	 0	 0	 0	 1	 2	 1	 0	14	 0	 2	 1	 0	 0	 0	 1	 1	 1	 0	 0	 0	 0	 0	 1	 0	 1	 0	 2	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 3	 0	 1	 0	 1	 0	 0	 1	 0	 0	 1
PD41852_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD41852_2	12	 4	 5	 2	 0	 1	12	 1	 6	 7	 1	35	 4	 0	 1	 0	 0	 4	 3	10	 5	 2	 0	66	 1	 1	 2	 0	 0	 2	 0	 5	 0	 0	 0	 0	 0	 2	 2	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 3	 0	 0	 1	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 4	 0	 0	 0	 0	 7	 3	 1	 1	 2	 1	 2	 1	 1	 0	 3
PD41852_20	1	0	0	1	0	0	1	1	1	0	0	5	1	1	0	0	0	0	0	0	2	0	0	9	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2
PD41852_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD41852_3	13	 7	 3	 2	 1	 4	 3	 5	 2	 7	 5	37	 2	 0	 0	 1	 0	 7	 1	 7	 1	 0	 0	55	 1	 1	 0	 1	 2	 0	 1	 4	 2	 1	 0	 1	 0	 4	 0	 0	 0	 0	 1	 1	 1	 0	 0	 0	 0	 1	 0	 0	 2	 1	 0	 1	 1	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 4	 0	 2	 0	 0	 4	 4	 0	 2	 1	 2
PD41852_4	 6	 4	 0	 1	 1	 0	 6	 1	 4	 4	 3	28	 2	 2	 0	 0	 0	 5	 2	 6	 1	 0	 0	50	 0	 1	 3	 0	 0	 0	 0	 5	 0	 1	 0	 0	 0	 1	 3	 0	 0	 0	 5	 0	 0	 0	 0	 0	 1	 0	 3	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 1	 1	 1	 1	 1
PD41852_5	 7	 2	 2	 1	 0	 2	 8	 1	 4	 4	 1	21	 1	 1	 0	 1	 0	 6	 0	 1	 2	 0	 0	35	 3	 2	 1	 1	 0	 0	 0	 1	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 1	 1	 1	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 1	 2	 0	 0	 0	 1	 1	 0	 3	 0	 2	 2	 2	 0	 0	 2	 0
PD41852_6	14	11	 3	 2	 2	 2	 5	 3	 4	 6	 4	30	 2	 0	 0	 0	 1	 4	 1	 1	 0	 2	 2	73	 4	 3	 3	 0	 0	 2	 0	 6	 1	 0	 0	 0	 0	 1	 1	 0	 0	 0	 1	 1	 0	 0	 0	 0	 0	 1	 0	 0	 1	 7	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 2	 0	 0	 0	 0	 3	 1	 2	 4	 1	 2	 4	 3	 1	 1	 2
PD41852_7	 9	 7	 3	 2	 2	 3	 6	 2	 2	 6	 5	44	 2	 0	 0	 0	 1	 7	 0	 0	 2	 1	 1	69	 3	 7	 1	 1	 1	 1	 0	 5	 1	 1	 0	 0	 1	 1	 2	 2	 0	 0	 2	 2	 1	 0	 0	 0	 2	 4	 1	 1	 0	 6	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0	 1	 2	 4	 0	 0	 0	 0	 4	 1	 3	 0	 4	 5	 2	 0	 2	 0	 1
PD41852_8	13	 9	 7	 2	 1	 5	 7	 2	 4	 5	 7	32	 4	 0	 1	 2	 2	 6	 4	 8	 2	 1	 0	80	 2	 6	 3	 0	 1	 1	 1	 5	 0	 0	 0	 0	 1	 5	 0	 0	 0	 0	 2	 2	 0	 0	 0	 0	 1	 0	 2	 0	 0	 4	 1	 1	 1	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0	 6	 0	 0	 0	 0	 2	 0	 3	 0	 1	 1	 2	 6	 0	 0	 0
PD41852_9	 9	 6	 2	 2	 1	 1	12	 2	 6	 0	 1	28	 1	 0	 0	 0	 2	 6	 0	 8	 1	 2	 3	54	 2	 4	 2	 2	 0	 0	 1	 3	 0	 0	 0	 0	 1	 1	 0	 0	 0	 0	 2	 1	 0	 0	 0	 0	 1	 0	 0	 0	 1	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 7	 0	 0	 0	 0	 3	 0	 1	 2	 2	 4	 0	 2	 5	 0	 1
PD41853_1	 2	 1	 1	 0	 0	 2	 1	 2	 2	 2	 0	 9	 0	 0	 0	 0	 0	 1	 0	 1	 1	 0	 0	25	 0	 1	 2	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0
PD41853_10	  7	  5	  3	  3	  1	  2	  7	  6	  2	  1	  8	 36	  3	  0	  0	  1	  1	  6	  0	  5	  2	  0	  2	107	  2	  4	  1	  0	  0	  1	  0	  6	  2	  0	  1	  0	  0	  2	  1	  0	  1	  0	  0	  1	  0	  0	  0	  0	  1	  0	  0	  1	  0	  5	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  2	  0	  0	  0	  0	  2	  0	  1	  0	  1	  1	  2	  2	  1	  2	  0
PD41853_11	14	 7	 0	 2	 0	 4	11	 3	 4	 6	 4	34	 2	 0	 1	 0	 1	 4	 0	 8	 1	 0	 1	79	 1	 4	 0	 1	 0	 1	 0	 2	 3	 1	 0	 0	 0	 5	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 4	 0	 1	 0	 0	 0	 0	 1	 2	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 3	 0	 1	 1	 0	 2	 3	 0	 1	 0	 1
PD41853_13	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PD41853_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD41853_15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD41853_16	 7	 3	 3	 0	 0	 0	 4	 4	 5	 1	 0	16	 3	 0	 2	 0	 0	 2	 0	 4	 1	 1	 4	58	 1	 1	 2	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 2	 1	 1	 0	 0	 0	 0	 1	 0	 0	 0	 3	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 4	 0	 2	 0	 2	 0	 1	 0	 2	 1	 2
PD41853_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD41853_19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD41853_2	 3	 1	 0	 0	 1	 0	 1	 0	 1	 1	 3	20	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	35	 0	 2	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 1
PD41853_20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
PD41853_21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
PD41853_3	  6	  9	  4	  0	  1	  3	  3	  6	  3	  6	  2	 30	  1	  1	  1	  0	  1	  3	  0	  2	  2	  2	  0	100	  2	  3	  2	  1	  0	  2	  0	  3	  1	  1	  0	  0	  0	  1	  0	  0	  1	  0	  2	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  4	  0	  0	  0	  0	  0	  2	  1	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  2	  0	  1	  0	  0	  1	  1	  5	  0	  0	  1
PD41853_4	 9	 8	 3	 3	 0	 0	 8	 2	 7	 7	 3	25	 4	 2	 0	 1	 1	 4	 0	 2	 1	 2	 2	58	 3	 3	 0	 0	 0	 0	 0	 5	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 1	 1	 1	 0	 0	 0	 0	 0	 1	 0	 0	 4	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 0	 0	 0	 0	 3	 0	 0	 1	 1	 1	 0	 1	 0	 0	 1
PD41853_5	 5	 7	 4	 1	 0	 1	 7	 2	 5	 3	 4	24	 5	 0	 1	 0	 1	 0	 2	 5	 2	 0	 0	64	 0	 1	 1	 2	 0	 1	 0	 1	 0	 0	 0	 0	 1	 3	 3	 1	 1	 1	 2	 2	 0	 0	 0	 0	 1	 0	 1	 1	 0	 5	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 1	 1	 3	 0	 0	 0	 0	 2	 1	 3	 0	 1	 2	 1	 0	 1	 1	 1
