0 1 2 3 4 5 6 7 8 9
PD28690_7 0.0100080893682589 0.684118644067797 0.161808551617874 0.0647361325115562 0.0093382126348228 0.00659476117103236 0.0615427580893683 0.00130161787365177 0.000362095531587057 0.000189137134052388
PD28690_16 0.026717277486911 0.683539267015707 0.0485287958115183 0.168057591623037 0.0237591623036649 0.00717801047120419 0.0293246073298429 0.00984293193717277 0.00245549738219895 0.000596858638743456
PD34200_2 0.00355693950177936 0.691634045077106 0.249664887307236 0.0393493475682088 0.00155160142348754 0.00414887307236062 0.00345907473309609 0.00308659549228944 0.00327342823250297 0.000275207591933571
PD34200_5 0.0117279362972794 0.720955540809555 0.225482415394824 0.015777704047777 0.00222229595222296 0.00901061712010617 0.00142468480424685 0.00514067684140677 0.0081506303915063 0.000107498341074983
PD34200_1 0.00591084165477889 0.732148359486448 0.223639800285307 0.0262888730385164 0.00207061340941512 0.00486519258202568 0.000796718972895863 0.00338017118402282 0.000853067047075606 4.63623395149786e-05
PD34200_3 0.00238633686690224 0.718820376914016 0.228598939929329 0.0409234393404005 0.00178504122497055 0.00232155477031802 0.00158186101295642 0.00252826855123675 0.000951118963486455 0.000103062426383981
PD34200_4 0.0105691922354415 0.691757044458359 0.240964934251722 0.0157795867251096 0.0314120225422668 0.00432122730118973 0.00122542266750157 0.00258422041327489 0.00130181590482154 8.4533500313087e-05
PD37266_3 0.0154675767918089 0.56046903949293 0.250898586055583 0.00289127254997562 0.0370121891760117 0.00360994636762555 0.000766942954656265 0.0016962457337884 0.127036079960995 0.000152120916626036
PD37266_6 0.0242527075812274 0.594315433212996 0.188959837545126 0.0190785198555957 0.0250789711191336 0.00697924187725632 0.00100135379061372 0.0111069494584838 0.128832581227437 0.000394404332129964
PD37266_2 0.00545429141716567 0.620009580838323 0.204112175648703 0.0660183632734531 0.0115864271457086 0.00265149700598802 0.00107265469061876 0.00217804391217565 0.0868910179640719 2.59481037924152e-05
PD37266_4 0.0145972531551596 0.629584261321455 0.182112843355605 0.0197557535263549 0.0173147735708983 0.00347067557535264 0.000652190051967335 0.0134302152932442 0.118779510022272 0.000302524127691166
PD37266_1 0.00703480392156863 0.623672549019608 0.184780392156863 0.0104617647058824 0.0083828431372549 0.00457303921568627 0.00125833333333333 0.00792549019607843 0.151789215686275 0.00012156862745098
PD37266_5 0.00710025706940874 0.745804627249357 0.15262853470437 0.012413881748072 0.00373393316195373 0.0105321336760925 0.00137275064267352 0.00898714652956298 0.0573714652956298 5.52699228791774e-05
PD37449_2 0.014646017699115 0.638420353982301 0.240451327433628 0.0615287610619469 0.0045353982300885 0.00936061946902655 0.00363495575221239 0.0142942477876106 0.0130176991150442 0.000110619469026549
PD37449_4 0.011754358974359 0.705997948717949 0.0751435897435897 0.112901538461538 0.00474769230769231 0.00355282051282051 0.00227948717948718 0.018685641025641 0.0648733333333333 6.35897435897436e-05
PD37449_1 0.0151390887290168 0.667193645083933 0.117697242206235 0.0543573141486811 0.0412230215827338 0.00701258992805755 0.00201498800959233 0.0655647482014388 0.0296786570743405 0.000118705035971223
PD37449_10 0.00705707196029777 0.72304776674938 0.15572270471464 0.0423343672456576 0.00358002481389578 0.00566997518610422 0.0015545905707196 0.00247332506203474 0.0584578163771712 0.000102357320099256
