SBS1	SBS5	SBS18	SBS2	SBS13	SBS88	SBS35	SBS40	SBS41	SBS17b
PD28690_7	0.380107001841337	0.398622718689918	0.140716021531678	0	0	0	0.0805542579370669	0	0	0
PD28690_16	0.405017403465636	0.328082594741904	0.26690000179246	0	0	0	0	0	0	0
PD34200_2	0.379421895895257	0.495534643523377	0.125043460581366	0	0	0	0	0	0	0
PD34200_5	0.384906771260542	0.512109990494626	0.102983238244832	0	0	0	0	0	0	0
PD34200_1	0.386724444724193	0.502424682601176	0.110850872674631	0	0	0	0	0	0	0
PD34200_3	0.389569058249164	0.487704663421864	0.122726278328972	0	0	0	0	0	0	0
PD34200_4	0.372755978414486	0.525005662460775	0.102238359124738	0	0	0	0	0	0	0
PD37266_3	0.299601782292519	0.700398217707481	0	0	0	0	0	0	0	0
PD37266_6	0.316726303069256	0.543392831134414	0.0883490777716837	0	0	0.0515317880246462	0	0	0	0
PD37266_2	0.337151905924103	0.532848101401908	0.129999992673989	0	0	0	0	0	0	0
PD37266_4	0.333224591966121	0.51675596316422	0.0973963421428086	0	0	0.0526231027268498	0	0	0	0
PD37266_1	0.327542478554622	0.527023933293437	0.076106760132466	0	0	0.0693268280194752	0	0	0	0
PD37266_5	0.40293372570143	0.512356630530812	0.0847096437677577	0	0	0	0	0	0	0
PD37449_2	0.335915325783706	0.516212231630797	0.147872442585497	0	0	0	0	0	0	0
PD37449_4	0.391242752415436	0.373068902064874	0.183495499097233	0	0	0.0521928464224573	0	0	0	0
PD37449_1	0.361803444914883	0.451587636312814	0.131477546745233	0	0	0	0	0	0.0551313720270703	0
PD37449_10	0.386142191838121	0.498862058475353	0.114995749686526	0	0	0	0	0	0	0
PD37449_9	0.37163459422322	0.294645899301731	0.138562237166424	0	0	0	0	0.195157269308624	0	0
PD37449_16	0.37122019596017	0.401367008872771	0.104390866160922	0	0	0.123021929006138	0	0	0	0
PD37449_7	0.299456960717135	0.372527272136346	0.148542374134212	0.0780988594315945	0.101374533580712	0	0	0	0	0
PD37449_5	0.333548925003623	0.486356174197723	0.117579221911451	0	0	0.062515678887203	0	0	0	0
PD37449_3	0.403502542876467	0.352155831004787	0.244341626118746	0	0	0	0	0	0	0
PD37449_6	0.424199710778489	0.42467917406546	0.151121115156051	0	0	0	0	0	0	0
PD37449_8	0.377737726354879	0.468189653072982	0.154072620572139	0	0	0	0	0	0	0
PD37449_18	0.22790240082446	0.240976653794498	0	0	0	0.531120945381042	0	0	0	0
PD41851_9	0.315532594993623	0.406234193850836	0.136012265908394	0.0760370880363217	0.0661838572108259	0	0	0	0	0
PD41851_3	0.280246496119584	0.425195679036547	0.0842848196283736	0.0983017254545994	0.111971279760896	0	0	0	0	0
PD41851_8	0.321625002294853	0.4602326263601	0.131383546216107	0.0486775570140689	0.0380812681148704	0	0	0	0	0
PD41851_2	0.310786633437617	0.463174035841263	0.138801213523614	0.0501967808897162	0.0370413363077888	0	0	0	0	0
PD41851_7	0.323920374854119	0.453564228917287	0.138860090361252	0.0470522184392081	0.0366030874281346	0	0	0	0	0
PD41851_5	0.354473314951596	0.520754580598895	0.124772104449509	0	0	0	0	0	0	0
PD41851_4	0.353604509674876	0.536358801895534	0.11003668842959	0	0	0	0	0	0	0
PD41851_1	0.328766868781521	0.538170432350622	0.133062698867857	0	0	0	0	0	0	0
PD41851_11	0.291140888956686	0.409519309356766	0.102757103104898	0.0895237277645771	0.107058970817074	0	0	0	0	0
PD41851_6	0.331937778609722	0.407431371705792	0.133725535450355	0.0642476214489345	0.0626576927851966	0	0	0	0	0
PD41851_10	0.33507066543244	0.447172480361953	0.137208103383919	0.0398437829124259	0.0407049679092614	0	0	0	0	0
PD41851_14	0.39398705218255	0.49812538071039	0.107887567107059	0	0	0	0	0	0	0
PD41852_10	0.400985899231602	0.478731988299464	0.120282112468934	0	0	0	0	0	0	0
PD41852_1	0.328630868143226	0.548466871774242	0.122902260082532	0	0	0	0	0	0	0
PD41852_9	0.37418671410185	0.460458479895116	0.108085694712822	0.0301705711430348	0.027098540147178	0	0	0	0	0
PD41852_3	0.348624509627855	0.540448123963616	0.110927366408529	0	0	0	0	0	0	0
PD41852_2	0.355476885394007	0.497095004416156	0.147428110189836	0	0	0	0	0	0	0
PD41852_4	0.363659191601562	0.455027529418683	0.111754188950333	0.0364687783493464	0.0330903116800756	0	0	0	0	0
PD41852_11	0.390409274913679	0.490644176973336	0.118946548112985	0	0	0	0	0	0	0
PD41852_8	0.384972394130465	0.478895842610259	0.136131763259275	0	0	0	0	0	0	0
PD41852_6	0.37117653928793	0.46507119175209	0.095843517050585	0.0391925532483765	0.0287161986610186	0	0	0	0	0
PD41852_17	0.345279815257324	0.400352766907614	0.134775562338393	0.0605279070181305	0.059063948478539	0	0	0	0	0
PD41852_5	0.383230595834038	0.511953920006693	0.10481548415927	0	0	0	0	0	0	0
PD41852_7	0.392903487652927	0.507102770348268	0.0999937419988054	0	0	0	0	0	0	0
PD41852_19	0.435102363519165	0.456624952275024	0.108272684205811	0	0	0	0	0	0	0
PD41853_6	0.458974439037658	0.43317202651699	0.107853534445353	0	0	0	0	0	0	0
PD41853_3	0.370516989379265	0.564638129881227	0.064844880739508	0	0	0	0	0	0	0
