SBS1	SBS5	SBS18	SBS2	SBS13	SBS88	SBS35	SBS40	SBS41	SBS17b
PD42835b_lo0016	0.326781607192621	0.555385984065405	0.117832408741974	0	0	0	0	0	0	0
PD42835b_lo0017	0.313399636578693	0.580690845669767	0.10590951775154	0	0	0	0	0	0	0
PD42835b_lo0028	0.311655565355	0.582565781249909	0.105778653395091	0	0	0	0	0	0	0
PD42835b_lo0031	0.310743258577015	0.58445555478647	0.104801186636515	0	0	0	0	0	0	0
PD42835b_lo0034	0.380105787080641	0.497569340980029	0.122324871939329	0	0	0	0	0	0	0
PD42835b_lo0033	0.288387551871494	0.611363835008618	0.100248613119888	0	0	0	0	0	0	0
PD42835b_lo0029	0.282215255522613	0.625757501051169	0.0920272434262176	0	0	0	0	0	0	0
PD42835b_lo0030	0.299389813935359	0.483629626713902	0.0769971243778106	0	0	0	0	0.139983434972928	0	0
PD43400e_lo0009	0.406201988711005	0.50622767490512	0.0875703363838749	0	0	0	0	0	0	0
PD43400e_lo0010	0.386437251444994	0.512956168506427	0.100606580048579	0	0	0	0	0	0	0
PD43400e_lo0011	0.4069479227143	0.460396895794271	0.132655181491429	0	0	0	0	0	0	0
PD43400e_lo0012	0.41279339316227	0.45128253111453	0.1359240757232	0	0	0	0	0	0	0
PD43400e_lo0013	0.397169797647467	0.40540267619971	0.0695713196812705	0	0	0	0	0.127856206471553	0	0
PD43401e_lo0009	0.283528232617991	0.531907606366238	0.0791840429111851	0.0451487066951603	0.0602314114094251	0	0	0	0	0
PD43401e_lo0010	0.323551204875581	0.580755536781075	0.0956932583433436	0	0	0	0	0	0	0
PD43401e_lo0011	0.315978498872795	0.60069187675857	0.0833296243686357	0	0	0	0	0	0	0
PD43401e_lo0012	0.270346551531628	0.665328286732588	0.0643251617357835	0	0	0	0	0	0	0
PD43401e_lo0013	0.296048312141699	0.616388341900358	0.0875633459579424	0	0	0	0	0	0	0
PD43402c_lo0025	0.368922025305586	0.54306736460262	0.0880106100917934	0	0	0	0	0	0	0
PD43402c_lo0026	0.414074016142199	0.465642524519439	0.120283459338362	0	0	0	0	0	0	0
PD43402c_lo0027	0.403495507883844	0.464552042582352	0.131952449533803	0	0	0	0	0	0	0
PD43402c_lo0028	0.37427575148412	0.504812613882555	0.120911634633325	0	0	0	0	0	0	0
PD43402c_lo0029	0.343535895550631	0.560923747458999	0.0955403569903701	0	0	0	0	0	0	0
PD43402d_lo0001	0.33296020218966	0.436289340638883	0.0952433985080024	0.0560634004035253	0.0794436582599302	0	0	0	0	0
PD43402d_lo0002	0.334559880926769	0.433281273571464	0.120974462575285	0.0499375798426139	0.0612468030838694	0	0	0	0	0
PD43402d_lo0003	0.368479284029123	0.500576469923743	0.130944246047134	0	0	0	0	0	0	0
PD43402d_lo0004	0.349982144847987	0.571627322387469	0.0783905327645445	0	0	0	0	0	0	0
PD43402d_lo0005	0.326272222410372	0.575675186100006	0.0980525914896225	0	0	0	0	0	0	0
PD43402d_lo0006	0.351616475896283	0.57046703653569	0.0779164875680272	0	0	0	0	0	0	0
PD43402d_lo0007	0.365557396807529	0.545183748924824	0.0892588542676474	0	0	0	0	0	0	0
PD43403e_lo0004	0.428684528323554	0.367359512877676	0.0894364925926396	0	0	0	0	0.11451946620613	0	0
PD43403e_lo0005	0.42696015098556	0.45544055014966	0.11759929886478	0	0	0	0	0	0	0
