SBS1 SBS5 SBS18 SBS2 SBS13 SBS88 SBS35 SBS40 SBS41 SBS17b all_rtCa_toGT all_rtca all_CtoGT all_c rtCa_enrich all_ytCa_toGT all_ytca ytCa_enrich all_tCa_toGT all_tca tca_enrich all_tCw_toGT all_tcw tcw_enrich
PD28690_11 160.51780717553 118.935174396595 36.4846634641897 0 0 0 81.0623549636845 0 0 0 2 229 236 7113 0.263229960772704 2 321 0.187787105971804 4 570 0.211507582515611 14 1158 0.364384824800211
PD28690_7 986.757776780111 1034.82457771903 365.298791896236 0 0 0 209.118853604626 0 0 0 22 1517 1618 46461 0.416434916027909 38 2192 0.497797925708047 60 3791 0.454472387435077 137 8057 0.488266849623503
PD28690_16 77.3583240619365 62.6637755957037 50.9779003423599 0 0 0 0 0 0 0 4 123 113 3575 1.02885099647457 4 169 0.748808713410483 8 299 0.846479415159677 15 626 0.758079108824112
PD34200_2 639.705316479403 835.471408980414 210.823274540183 0 0 0 0 0 0 0 14 977 1030 29323 0.407947849072353 16 1421 0.320550958917213 30 2454 0.348030954019987 63 5289 0.339108095754699
PD34200_5 580.054504289637 771.749755675401 155.195740034962 0 0 0 0 0 0 0 10 880 940 26031 0.314688104448743 16 1260 0.351651469098278 26 2200 0.327275628626692 57 4592 0.343744671584254
PD34200_1 542.187671503319 704.399405006849 155.412923489833 0 0 0 0 0 0 0 11 835 897 24350 0.357612534129066 19 1170 0.440833166585675 30 2066 0.39418260934318 65 4305 0.409870558332913
PD34200_3 661.48826090708 828.122518490325 208.389220602594 0 0 0 0 0 0 0 15 958 1058 29609 0.438191372227111 17 1454 0.32720700082947 32 2486 0.360235846258899 69 5253 0.367603605393191
PD34200_4 595.291297527934 838.434042949858 163.274659522207 0 0 0 0 0 0 0 21 970 1033 27396 0.574161934511632 28 1332 0.55749457104733 49 2369 0.548552066319682 108 5002 0.572620516169137
PD37266_3 614.483255481956 1436.51674451804 0 0 0 0 0 0 0 0 32 1209 1216 35154 0.765182186234818 47 1830 0.742485440034513 79 3123 0.731301190656757 163 6457 0.729790140035702
PD37266_6 701.865487601471 1204.15851379386 195.781556342051 0 0 114.194442262616 0 0 0 0 35 1318 1272 37592 0.784803542627003 43 1859 0.683592653113698 78 3261 0.706890466519704 153 6874 0.657794478510768
PD37266_2 844.565524339878 1334.78449401178 325.649981648342 0 0 0 0 0 0 0 21 1405 1455 42663 0.438259529662105 38 2042 0.545652634873835 59 3550 0.487317554813417 133 7649 0.509841728519192
